node1	node2
ZNF212	ZZZ3
ZBTB33	ZZZ3
WDR5	ZZZ3
TRIM22	ZZZ3
TRAF2	ZZZ3
TM4SF1	ZZZ3
TARS1	ZZZ3
TADA3	ZZZ3
TADA2A	ZZZ3
STX6	ZZZ3
SEMA3A	ZZZ3
SEC22B	ZZZ3
RPL37	ZZZ3
PSME3	ZZZ3
PSMC3	ZZZ3
PPP1R13B	ZZZ3
PICK1	ZZZ3
PFDN4	ZZZ3
PDE4DIP	ZZZ3
NR2F1	ZZZ3
NIPBL	ZZZ3
MRPS30	ZZZ3
MAGEA10	ZZZ3
LZTR1	ZZZ3
LMO2	ZZZ3
KYAT1	ZZZ3
KAT2A	ZZZ3
IKBKG	ZZZ3
GOLGA2	ZZZ3
GBA	ZZZ3
GATA1	ZZZ3
ETS1	ZZZ3
EPS8	ZZZ3
CDH9	ZZZ3
CDH10	ZZZ3
CD55	ZZZ3
CARD8	ZZZ3
BRCA1	ZZZ3
BLZF1	ZZZ3
BCAT1	ZZZ3
BASP1	ZZZ3
ANXA2	ZZZ3
XRCC5	ZZEF1
WNT9B	ZZEF1
VRK1	ZZEF1
UBC	ZZEF1
TMED2	ZZEF1
TMED10	ZZEF1
THOC1	ZZEF1
SKIL	ZZEF1
SERPINA5	ZZEF1
RPS4X	ZZEF1
PTPN4	ZZEF1
PHYHIP	ZZEF1
PDGFRB	ZZEF1
HSPB3	ZZEF1
GAST	ZZEF1
FOSL2	ZZEF1
DLK1	ZZEF1
CLEC3A	ZZEF1
CCNG1	ZZEF1
B4GALT1	ZZEF1
ANGPT2	ZZEF1
YWHAG	ZYX
WEE1	ZYX
VIM	ZYX
VCAM1	ZYX
VAV1	ZYX
VASP	ZYX
UCHL3	ZYX
UBE2V2	ZYX
UBE2V1	ZYX
UBE2I	ZYX
UBE2B	ZYX
UBC	ZYX
TYK2	ZYX
TUFT1	ZYX
TRIP6	ZYX
TPM4	ZYX
TPM1	ZYX
TGFBR2	ZYX
TFAP2C	ZYX
SYK	ZYX
STK4	ZYX
SRF	ZYX
SREBF2	ZYX
RPS6KA2	ZYX
RPS6KA1	ZYX
RGS2	ZYX
RCN1	ZYX
RAF1	ZYX
PTK2B	ZYX
PTK2	ZYX
PRKY	ZYX
PRKCZ	ZYX
